Date; Time; Latitude; Longitude; Altitude; Satellites; HDOP; PDOP; Temperature;Speed; TTFF; SNR; tbd
05/27/2018; 11:21:58;16.3202533;-89.3277833;660;8;1;1.3;29;;49;0;0
05/27/2018; 11:37:15;16.3202683;-89.32775;666;6;1.4;1.7;30;;16;0;0
05/27/2018; 11:52:39;16.3197467;-89.3277383;600;6;1.5;1.8;30;;23;0;0
05/27/2018; 12:08:02;16.31989;-89.3276217;644;7;1.4;1.6;30;;22;0;0
05/27/2018; 12:23:18;16.3198683;-89.3273967;672;5;2.7;2.9;30;;15;0;0
05/27/2018; 12:38:41;16.3202567;-89.3277717;636;6;1.3;1.6;30;;22;0;0
05/27/2018; 12:54:13;16.32018;-89.32754;656;5;1.4;1.7;31;;31;0;0
05/27/2018; 13:09:51;16.3203983;-89.3278133;684;6;1.2;1.5;32;;37;0;0
05/27/2018; 13:25:00;16.320335;-89.3277967;642;5;1.7;1.9;30;;8;0;0
05/27/2018; 13:40:19;16.3202133;-89.3275933;628;5;2.2;2.4;28;;18;0;0
05/27/2018; 13:55:30;16.3202383;-89.327835;710;6;1.2;1.5;29;;10;0;0
05/27/2018; 14:10:53;16.3202783;-89.3277017;658;6;1.2;1.5;30;;21;0;0
05/27/2018; 14:26:14;16.3205833;-89.3276033;688;5;2;2.2;30;;20;0;0
05/27/2018; 14:41:22;16.320495;-89.32792;660;6;1.3;1.6;32;;8;0;0
05/27/2018; 14:56:35;16.3202633;-89.32776;636;6;1.5;1.8;32;;11;0;0
05/27/2018; 15:12:22;16.319885;-89.32766;586;5;1.8;2;30;;46;0;0
05/27/2018; 15:28:53; ; ; ; ; ; ; ;;;;
05/27/2018; 15:43:56;16.3215783;-89.3280767;644;6;1.3;1.6;27;;3;0;0
05/27/2018; 15:59:01;16.3203283;-89.3276383;658;5;1.8;2;28;;4;0;0
05/27/2018; 16:14:13;16.32026;-89.327705;630;6;1.4;1.7;30;;10;0;0
05/27/2018; 16:29:18;16.320365;-89.3276283;666;7;1.2;1.5;30;;4;0;0
05/27/2018; 16:44:25;16.32034;-89.3277667;696;6;1.3;1.5;28;;6;0;0
05/27/2018; 16:59:30;16.3204183;-89.3276267;704;6;1.2;1.5;28;;3;0;0
05/27/2018; 17:14:36;16.3203983;-89.32761;678;6;1.1;1.4;28;;6;0;0
05/27/2018; 17:29:40;16.3203917;-89.3275767;654;7;1.1;1.4;28;;3;0;0
05/27/2018; 17:44:59;16.3204917;-89.327345;650;6;1.2;1.5;28;;17;0;0
05/27/2018; 18:00:11;16.319935;-89.3279433;640;6;1.5;1.8;29;;11;0;0
05/27/2018; 18:15:53;16.3200933;-89.3276033;636;7;1.2;1.5;31;;42;0;0
05/27/2018; 18:31:08;16.32002;-89.3274083;624;4;2.5;2.7;32;;13;0;0
05/27/2018; 18:46:18;16.32037;-89.3280083;590;5;1.5;1.7;31;;10;0;0
05/27/2018; 19:01:32;16.3200033;-89.3276683;530;6;1.2;1.6;30;;12;0;0
05/27/2018; 19:16:37;16.3196067;-89.32736;606;7;1.1;1.5;30;;4;0;0
05/27/2018; 19:32:06;16.320405;-89.32776;620;6;1.1;1.4;32;;28;0;0
05/27/2018; 19:47:13;16.3217217;-89.330215;460;7;1.2;1.5;30;;6;0;0
05/27/2018; 20:02:28;16.3220283;-89.3291217;588;6;1;1.3;30;;15;0;0
05/27/2018; 20:18:04;16.32202;-89.3287733;602;8;0.9;1.2;30;;35;0;0
05/27/2018; 20:34:34; ; ; ; ; ; ; ;;;;
05/27/2018; 20:51:05; ; ; ; ; ; ; ;;;;
05/27/2018; 21:06:11;16.320375;-89.3278933;612;6;1.6;1.9;31;;6;0;0
05/27/2018; 21:21:25;16.3204067;-89.3277317;648;7;1.2;1.4;35;;12;0;0
05/27/2018; 21:36:45;16.320085;-89.3275767;666;8;0.9;1.2;32;;19;0;0
05/27/2018; 21:51:54;16.3202733;-89.3273833;850;7;1;1.3;31;;8;0;0
05/27/2018; 22:07:08;16.3203783;-89.3274367;898;5;1.4;1.7;31;;13;0;0
05/27/2018; 22:22:34;16.3194967;-89.3263783;1352;6;1;1.4;32;;25;0;0
05/27/2018; 22:37:56;16.3191967;-89.3256467;1594;7;1;1.4;33;;21;0;0
05/27/2018; 22:53:44;16.3200033;-89.32533;1894;7;1;1.4;32;;47;0;0
05/27/2018; 23:10:15; ; ; ; ; ; ; ;;;;
05/27/2018; 23:25:54;16.320345;-89.3277;662;4;1.6;1.9;32;;38;0;0
05/27/2018; 23:41:07;16.32051;-89.3276633;620;6;1.3;1.7;30;;12;0;0
05/27/2018; 23:56:19;16.3206267;-89.3274167;672;7;1.3;1.6;30;;11;0;0
05/28/2018; 00:11:35;16.3205433;-89.327705;676;6;1.6;1.8;32;;14;0;0
05/28/2018; 00:26:41;16.3205333;-89.3276;658;6;1.2;1.5;31;;5;0;0
05/28/2018; 00:42:07;16.3218117;-89.3286583;648;8;0.8;1.1;30;;25;0;0
05/28/2018; 00:57:13;16.32285;-89.3282817;636;8;0.9;1.2;29;;6;0;0
05/28/2018; 01:12:21;16.32225;-89.329375;554;5;1.5;1.8;27;;6;0;0
05/28/2018; 01:27:54;16.3220017;-89.3288133;660;6;1.1;1.4;28;;32;0;0
05/28/2018; 01:43:05;16.3202133;-89.32755;612;6;1.1;1.5;28;;10;0;0
05/28/2018; 01:58:13;16.320225;-89.3277183;726;6;1.1;1.5;31;;7;0;0
